timestamp_enter,timestamp_exit
1593175477.000000,1593175710.000000
1593175885.000000,1593176036.000000
1593176058.000000,1593176129.000000
1593176182.000000,1593176245.000000
1593176318.000000,1593176503.000000
1593177174.000000,1593177257.000000
1593177392.000000,1593177461.000000
1593177528.000000,1593177831.000000
1593177937.000000,1593178041.000000
1593178235.000000,1593178345.000000
1593178900.000000,1593178965.000000
1593179000.000000,1593179063.000000
1593179191.000000,1593179498.000000
1593180443.000000,1593180664.000000
1593180737.000000,1593180891.000000
1593181521.000000,1593181588.000000
1593181714.000000,1593181931.000000
1593182026.000000,1593182434.000000
1593183196.000000,1593183319.000000
